radical,current_category,proposed_category,frequency,example_characters
一,other,Structure/Foundation,320,不下
口,boundary,boundary,288,命唯善合可口各君咎吉
人,agent,agent,249,來今以企人
丶,other,Structure/Foundation,248,之
火,other,Transformation/Change,233,無然熱烹焉為
大,other,Magnitude/Scale,204,失奉天夫奈大奇太
八,other,Structure/Foundation,133,其
辶,motion,motion,120,從復過達道往迎還退遇
而,other,Connection/Relation,114,而
老,other,Entity/Being,89,者
月,other,Time/Duration,79,有
亻,agent,agent,75,儉伯伐作偏倍修佐仁保
氵,fluid,fluid,62,泛泮淵湛沒江流渾治濁
矢,other,Observation/Perception,61,知
艸,other,other,51,若
木,other,Structure/Foundation,47,極木根柔樂棄果本梁
方,other,Direction/Orientation,47,於
忄,internal,internal,45,怨懼怒恐惟憂惡懷患恃
彳,other,other,43,德
土,other,Structure/Foundation,42,域執堂地塵在坐土堅基
囗,boundary,Containment/Vessel,40,四圖國固
訁,other,Communication/Expression,39,讁譽謂識誠謀
宀,constraint,constraint,39,寧宗家寶寂客容富宜室
言,other,Communication/Expression,38,信言
牛,other,Entity/Being,36,物
扌,action,action,34,抱抑拱挫攫握搏拔據攝
見,other,Observation/Perception,32,觀視見親覽
巾,cloth,cloth,32,帝帶常師
目,other,Observation/Perception,31,自
戶,boundary,boundary,28,戶所
寸,action,action,28,尊將專寸
示,other,Observation/Perception,27,祀神示福社祥禮祭禍
女,other,other,25,始姓妙如要好
子,agent,agent,24,孤孝孔存孩學子孫
心,internal,internal,24,忠愛志愚心應
足,motion,Body/Physical,22,跨跡足
行,motion,motion,20,行
食,other,other,17,養飲食餌餘
糸,thread,thread,17,約紛紀累素綿繩網絕
乙,other,Connection/Relation,16,也
門,boundary,boundary,16,閉關閱間門開
車,other,other,15,車載輕軍轍
臼,other,other,14,與
馬,other,Entity/Being,12,驕馳馬驚
又,other,other,11,取
尸,constraint,constraint,11,居屬
厂,constraint,constraint,9,厚厭
广,constraint,constraint,6,廢廉廣
⺮,other,other,5,籌笑筋策
金,other,Material/Substance,4,金銳
玉,other,Material/Substance,4,珍玉璧
衣,cloth,cloth,4,補裂衣
水,fluid,fluid,3,水
冫,fluid,fluid,1,冰
手,action,action,1,手
雨,fluid,fluid,1,雨
